inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;2;120;538782.912995;4.861493616000001
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;2;2;120;690749.5429359998;25.017128917
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;2;2;120;905113.4635940008;10.065166931
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;2;2;120;1.0016131732459997e6;13.180824696
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;2;120;482212.1780989999;14.94095265
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;2;2;120;655839.361772;17.106526127000002
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;2;2;120;1.0978436890700012e6;40.795670251
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;2;120;1.1895212180139984e6;56.08505797700001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;2;2;120;1.3497278015989973e6;80.600484489
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;2;2;120;1.3584938251749966e6;93.502482969
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;3;120;539280.3266150003;23.919377976000003
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;2;3;120;685697.4185579999;42.752907496
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;2;3;120;904756.998967;10.286137389
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;2;3;120;998185.9824369996;17.594340675999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;3;120;482336.77774899954;18.30833814
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;2;3;120;650924.5479769998;32.145557876
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;2;3;120;1.0905017082310007e6;48.086111334
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;3;120;1.2017749100759951e6;94.73051985100001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;2;3;120;1.3494428487429963e6;106.331720816
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;2;3;120;1.3491549461510004e6;98.12743816
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;4;120;538822.619162;36.71135567899999
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;2;4;120;688508.1827789997;48.201797424999995
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;2;4;120;903485.3714450005;11.705009623
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;2;4;120;995328.1996559997;25.190190035000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;4;120;482463.2659909984;47.405612346000005
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;2;4;120;650324.5228069995;50.361872511
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;2;4;120;1.0892531707369988e6;80.97072389099998
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;4;120;1.196897263561999e6;98.01173328600002
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;2;4;120;1.3466366616739868e6;100.92144229799999
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;2;4;120;1.3581328474639966e6;99.90456351899999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;3;2;120;538934.5536849999;8.530445799999999
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;3;2;120;689567.9201179998;55.158902018
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;3;2;120;904290.3346050007;10.108429573
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;3;2;120;1.001939634046e6;11.598484411000001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;2;120;481348.5689669985;15.553637963
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;3;2;120;651558.0944909996;19.340632231
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;3;2;120;1.0884077878710008e6;30.679134796
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;2;120;1.1925639576499993e6;81.656324107
