instance;form;heursol;bestbound;bestsol;gap;time;numnodes;percfixed
instances/N200T30/N200T30P1W5SD_SF1.dat;randdpheurmc;803704.7522740004;778281.1001000011;778281.1001000012;1.495800448089728e-14;46.72304105758667;0;63.23218390804598 
instances/N200T30/N200T30P1W5SD_SF2.dat;randdpheurmc;754265.3914879998;730497.3471649971;730497.3471649995;3.1872893797282953e-13;118.7493622303009;3;62.74597701149426 
instances/N200T30/N200T30P1W5SD_SF3.dat;randdpheurmc;794009.8875120005;759327.1986349935;759327.1986350007;9.505454257723018e-13;167.11218810081482;5;59.91724137931035 
instances/N200T30/N200T30P1W5SD_SF4.dat;randdpheurmc;742012.1115259983;709879.0358449961;709879.0358449994;4.591809092198502e-13;135.39852714538574;3;61.803448275862074 
instances/N200T30/N200T30P1W5SD_SF5.dat;randdpheurmc;729305.2894680002;698785.678179999;698785.678179999;0.0;139.04890203475952;5;56.68965517241379 
instances/N200T30/N200T30P1W5SD_DF1.dat;randdpheurmc;769006.7435989985;721264.2924499982;721264.2924499995;1.7754497948961702e-13;141.0608310699463;7;73.25172413793103 
instances/N200T30/N200T30P1W5SD_DF2.dat;randdpheurmc;753759.7805649999;695762.9936150005;695762.9936150005;0.0;27.80462884902954;0;73.11264367816092 
instances/N200T30/N200T30P1W5SD_DF3.dat;randdpheurmc;752924.1339870002;696653.0506639997;696653.0506639997;0.0;88.59576606750488;3;72.6816091954023 
instances/N200T30/N200T30P1W5SD_DF4.dat;randdpheurmc;757896.917497999;701505.5073069957;701505.5073070007;7.135879599541729e-13;23.298251152038574;0;72.32988505747127 
instances/N200T30/N200T30P1W5SD_DF5.dat;randdpheurmc;758566.1623399996;709397.174439999;709397.1744400032;5.907764700469779e-13;23.77120804786682;0;75.31149425287357 
instances/N200T30/N200T30P1W5DD_SF1.dat;randdpheurmc;814352.5868940003;753487.405629999;753487.4056300002;1.545020141771295e-13;36.24322700500488;0;72.81494252873563 
instances/N200T30/N200T30P1W5DD_SF2.dat;randdpheurmc;752814.9033939997;700348.646066799;700348.8218400003;2.5097950608682754e-5;210.00113201141357;15;69.82413793103449 
instances/N200T30/N200T30P1W5DD_SF3.dat;randdpheurmc;729552.0412489997;688924.2111089989;688924.2111089996;1.0138879135009751e-13;575.9324009418488;41;69.95747126436783 
instances/N200T30/N200T30P1W5DD_SF4.dat;randdpheurmc;768516.0211989996;710928.277758;710928.277758;0.0;366.131325006485;25;74.39885057471264 
instances/N200T30/N200T30P1W5DD_SF5.dat;randdpheurmc;788634.2997179999;744062.6512050004;744062.6512050004;0.0;40.73536491394043;0;69.42758620689655 
instances/N200T30/N200T30P1W5DD_DF1.dat;randdpheurmc;738518.1065330002;694342.9326070007;694342.9326070007;0.0;208.0454077720642;1;74.95287356321839 
instances/N200T30/N200T30P1W5DD_DF2.dat;randdpheurmc;741237.7319749999;694546.8907209997;694546.8907209997;0.0;83.46442699432373;3;78.80114942528735 
instances/N200T30/N200T30P1W5DD_DF3.dat;randdpheurmc;772271.0188780004;721359.6588979997;721359.6588979998;1.613831885259277e-14;28.14611792564392;0;79.89770114942529 
instances/N200T30/N200T30P1W5DD_DF4.dat;randdpheurmc;765014.2888790001;716682.4754959999;716682.4754959999;0.0;26.495460033416748;0;78.76666666666667 
instances/N200T30/N200T30P1W5DD_DF5.dat;randdpheurmc;743865.0186820002;702043.8093179996;702043.8093179996;0.0;21.877771139144897;0;78.9793103448276 
instances/N200T30/N200T30P1W10SD_SF1.dat;randdpheurmc;906527.648416999;868742.9366799975;868742.9366800004;3.3501084415094403e-13;2167.3058681488037;5;64.2 
instances/N200T30/N200T30P1W10SD_SF2.dat;randdpheurmc;889481.9096449991;847237.0851556608;847237.3727890011;3.3949557653866725e-5;2353.7459468841553;5;64.64367816091954 
instances/N200T30/N200T30P1W10SD_SF3.dat;randdpheurmc;884765.6318669996;846233.9002940002;846233.9002940017;1.7883934728026872e-13;1860.5906491279602;19;62.90689655172413 
instances/N200T30/N200T30P1W10SD_SF4.dat;randdpheurmc;916503.8784300007;862146.5040420017;862146.5040420017;0.0;2401.65633392334;3;62.255172413793105 
instances/N200T30/N200T30P1W10SD_SF5.dat;randdpheurmc;856952.7544699996;808197.6899979991;808197.6899979991;0.0;1764.2018620967865;5;61.196551724137926 
instances/N200T30/N200T30P1W10SD_DF1.dat;randdpheurmc;875578.3572899997;815204.9644350002;815204.9644350002;0.0;996.4836311340332;5;72.7287356321839 
instances/N200T30/N200T30P1W10SD_DF2.dat;randdpheurmc;885594.9434710002;810618.9377519974;810618.9377519995;2.585031875391389e-13;1069.776703119278;0;75.17586206896551 
instances/N200T30/N200T30P1W10SD_DF3.dat;randdpheurmc;839608.022768;777326.2655130003;777326.2655130011;1.048346478104327e-13;913.957592010498;0;74.8 
instances/N200T30/N200T30P1W10SD_DF4.dat;randdpheurmc;837755.7784740007;774396.5169879998;774396.5169879998;0.0;1895.3727669715881;3;73.8287356321839 
instances/N200T30/N200T30P1W10SD_DF5.dat;randdpheurmc;871697.7762410004;801768.7526199962;801768.7526199982;2.4683681729810145e-13;1513.5785760879517;0;74.2448275862069 
instances/N200T30/N200T30P1W10DD_SF1.dat;randdpheurmc;900605.3064770002;837839.9779239997;837839.9779240002;6.947348234408e-14;1472.1475729942322;7;73.6448275862069 
instances/N200T30/N200T30P1W10DD_SF2.dat;randdpheurmc;909648.9968889998;842963.983092;842963.9830920002;2.7620473510605342e-14;2008.4903700351715;9;70.20114942528735 
instances/N200T30/N200T30P1W10DD_SF3.dat;randdpheurmc;901357.7721119998;846316.9842739981;846316.9842740006;3.0262149144857304e-13;2762.5924768447876;51;69.54712643678161 
instances/N200T30/N200T30P1W10DD_SF4.dat;randdpheurmc;913769.6732969997;852741.0219589986;852741.0219590004;2.0477844766895483e-13;1683.2204611301422;0;75.94252873563218 
instances/N200T30/N200T30P1W10DD_SF5.dat;randdpheurmc;904633.7860159993;832646.01065;832646.01065;0.0;2479.0545661449432;3;69.50344827586207 
instances/N200T30/N200T30P1W10DD_DF1.dat;randdpheurmc;845084.0611129999;784677.2823519993;784677.2823519999;7.418038246117583e-14;1150.402240037918;0;77.52528735632184 
instances/N200T30/N200T30P1W10DD_DF2.dat;randdpheurmc;852449.2981659996;795765.1019199997;795765.1019199998;1.4629357525989914e-14;1177.7326819896698;5;77.50229885057472 
instances/N200T30/N200T30P1W10DD_DF3.dat;randdpheurmc;851054.7497860002;790119.8545770003;790119.8545770003;0.0;1388.382877111435;3;75.86666666666667 
instances/N200T30/N200T30P1W10DD_DF4.dat;randdpheurmc;862158.8898220009;789896.9351789497;789896.9351789497;0.0;2051.5930840969086;3;76.27011494252874 
instances/N200T30/N200T30P1W10DD_DF5.dat;randdpheurmc;869967.5646959998;804459.1163519986;804459.1163519993;8.682752383105279e-14;958.5901308059692;0;77.61379310344829 
instances/N200T30/N200T30P1W15SD_SF1.dat;randdpheurmc;947254.245253999;895427.5980879981;895427.5980879981;0.0;1103.5500330924988;87;60.07931034482758 
instances/N200T30/N200T30P1W15SD_SF2.dat;randdpheurmc;961367.0383249997;907218.3510279979;907218.3510279979;0.0;1266.1500959396362;50;60.06436781609196 
