NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;2;120;538782.912995;4.861493616000001
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;2;2;120;690749.5429359998;25.017128917
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;2;2;120;905113.4635940008;10.065166931
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;2;2;120;1.0016131732459997e6;13.180824696
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;2;120;482212.1780989999;14.94095265
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;2;2;120;655839.361772;17.106526127000002
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;2;2;120;1.0978436890700012e6;40.795670251
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;2;120;1.1895212180139984e6;56.08505797700001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;2;2;120;1.3497278015989973e6;80.600484489
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;2;2;120;1.3584938251749966e6;93.502482969
