instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W5DD_SF6.dat;50;15;5;1.75;0;3;2;120;447135.3395776664;2.267678108
instances/N50T15/N50T15P1W5DD_SF7.dat;50;15;5;1.75;0;3;2;120;464919.5307643327;2.7858255069999998
instances/N50T15/N50T15P1W5DD_SF8.dat;50;15;5;1.75;0;3;2;120;491207.22254766664;2.047547265
instances/N50T15/N50T15P1W5DD_SF9.dat;50;15;5;1.75;0;3;2;120;377805.28677066654;2.7443349290000003
instances/N50T15/N50T15P1W5DD_SF10.dat;50;15;5;1.75;0;3;2;120;487061.9290069998;2.296237621
instances/N50T15/N50T15P1W10DD_SF6.dat;50;15;10;1.75;0;3;2;120;481677.8269039998;4.463488059
instances/N50T15/N50T15P1W10DD_SF7.dat;50;15;10;1.75;0;3;2;120;460126.67619933316;4.519711783
instances/N50T15/N50T15P1W10DD_SF8.dat;50;15;10;1.75;0;3;2;120;469311.2805783333;4.136386343
instances/N50T15/N50T15P1W10DD_SF9.dat;50;15;10;1.75;0;3;2;120;449257.0421319999;7.9970350329999995
instances/N50T15/N50T15P1W10DD_SF10.dat;50;15;10;1.75;0;3;2;120;501787.9849079999;3.6764759839999996
instances/N50T15/N50T15P1W15DD_SF6.dat;50;15;15;1.75;0;3;2;120;524343.0151799999;6.848140767
instances/N50T15/N50T15P1W15DD_SF7.dat;50;15;15;1.75;0;3;2;120;487352.5031140001;14.681561299
instances/N50T15/N50T15P1W15DD_SF8.dat;50;15;15;1.75;0;3;2;120;507375.2690073331;11.829733404
instances/N50T15/N50T15P1W15DD_SF9.dat;50;15;15;1.75;0;3;2;120;492083.4593836665;6.512522368000001
instances/N50T15/N50T15P1W15DD_SF10.dat;50;15;15;1.75;0;3;2;120;507236.9989439998;3.9478159319999997
instances/N50T15/N50T15P1W20DD_SF6.dat;50;15;20;1.75;0;3;2;120;546443.5966929998;14.272153278000001
instances/N50T15/N50T15P1W20DD_SF7.dat;50;15;20;1.75;0;3;2;120;570376.330767;15.392137557
instances/N50T15/N50T15P1W20DD_SF8.dat;50;15;20;1.75;0;3;2;120;567937.473156;17.629003385999997
instances/N50T15/N50T15P1W20DD_SF9.dat;50;15;20;1.75;0;3;2;120;512818.44313499995;18.52363428
instances/N50T15/N50T15P1W20DD_SF10.dat;50;15;20;1.75;0;3;2;120;611978.2216680001;11.342662241
instances/N50T30/N50T30P1W5DD_SF6.dat;50;30;5;1.75;0;3;2;120;790105.8393747997;8.699927636
instances/N50T30/N50T30P1W5DD_SF7.dat;50;30;5;1.75;0;3;2;120;790210.1561579998;13.018848708
instances/N50T30/N50T30P1W5DD_SF8.dat;50;30;5;1.75;0;3;2;120;766477.4871669998;9.362890134999997
instances/N50T30/N50T30P1W5DD_SF9.dat;50;30;5;1.75;0;3;2;120;994730.5293;7.838139331000001
instances/N50T30/N50T30P1W5DD_SF10.dat;50;30;5;1.75;0;3;2;120;833207.0216413335;7.968381668999999
instances/N50T30/N50T30P1W10DD_SF6.dat;50;30;10;1.75;0;3;2;120;1.0446486391896668e6;14.818564495999999
instances/N50T30/N50T30P1W10DD_SF7.dat;50;30;10;1.75;0;3;2;120;1.0342567584249999e6;16.434155423
instances/N50T30/N50T30P1W10DD_SF8.dat;50;30;10;1.75;0;3;2;120;949919.5040686668;20.346746442
instances/N50T30/N50T30P1W10DD_SF9.dat;50;30;10;1.75;0;3;2;120;1.078772038050333e6;14.538904779999998
instances/N50T30/N50T30P1W10DD_SF10.dat;50;30;10;1.75;0;3;2;120;1.010198520972e6;11.57404971
instances/N50T30/N50T30P1W15DD_SF6.dat;50;30;15;1.75;0;3;2;120;1.1078292540766667e6;45.548892589
instances/N50T30/N50T30P1W15DD_SF7.dat;50;30;15;1.75;0;3;2;120;1.0367409637772266e6;28.362961717999998
instances/N50T30/N50T30P1W15DD_SF8.dat;50;30;15;1.75;0;3;2;120;1.0935058839089996e6;31.234279104
instances/N50T30/N50T30P1W15DD_SF9.dat;50;30;15;1.75;0;3;2;120;950316.0499836665;37.07209328
instances/N50T30/N50T30P1W15DD_SF10.dat;50;30;15;1.75;0;3;2;120;1.1006783549103332e6;35.486742973
instances/N50T30/N50T30P1W20DD_SF6.dat;50;30;20;1.75;0;3;2;120;999134.9308443333;43.798567768999995
instances/N50T30/N50T30P1W20DD_SF7.dat;50;30;20;1.75;0;3;2;120;1.2013247392596663e6;63.30298755399999
instances/N50T30/N50T30P1W20DD_SF8.dat;50;30;20;1.75;0;3;2;120;1.0104178225689996e6;77.338725657
instances/N50T30/N50T30P1W20DD_SF9.dat;50;30;20;1.75;0;3;2;120;1.1847649792446673e6;56.253898565
instances/N50T30/N50T30P1W20DD_SF10.dat;50;30;20;1.75;0;3;2;120;1.158551779361e6;51.633686213000004
instances/N100T15/N100T15P1W5DD_SF6.dat;100;15;5;1.75;0;3;2;120;474032.6758306662;10.292621013
instances/N100T15/N100T15P1W5DD_SF7.dat;100;15;5;1.75;0;3;2;120;485051.96262899943;11.102129312999999
instances/N100T15/N100T15P1W5DD_SF8.dat;100;15;5;1.75;0;3;2;120;441929.5778176667;5.201937175
instances/N100T15/N100T15P1W5DD_SF9.dat;100;15;5;1.75;0;3;2;120;545116.8636129992;6.84185068
instances/N100T15/N100T15P1W5DD_SF10.dat;100;15;5;1.75;0;3;2;120;491922.4491026667;13.452303154999997
instances/N100T15/N100T15P1W10DD_SF6.dat;100;15;10;1.75;0;3;2;120;509055.74624599935;24.476536589000002
instances/N100T15/N100T15P1W10DD_SF7.dat;100;15;10;1.75;0;3;2;120;584131.3026310003;24.603668335
instances/N100T15/N100T15P1W10DD_SF8.dat;100;15;10;1.75;0;3;2;120;581988.7038129999;26.211639385
instances/N100T15/N100T15P1W10DD_SF9.dat;100;15;10;1.75;0;3;2;120;538857.6642109996;11.240957052
instances/N100T15/N100T15P1W10DD_SF10.dat;100;15;10;1.75;0;3;2;120;587526.9160239997;17.741084632
instances/N100T15/N100T15P1W15DD_SF6.dat;100;15;15;1.75;0;3;2;120;609253.134387333;34.01605347699999
instances/N100T15/N100T15P1W15DD_SF7.dat;100;15;15;1.75;0;3;2;120;534264.5449396665;17.681148408000002
instances/N100T15/N100T15P1W15DD_SF8.dat;100;15;15;1.75;0;3;2;120;510193.68238699844;19.081350713
instances/N100T15/N100T15P1W15DD_SF9.dat;100;15;15;1.75;0;3;2;120;505512.8486079997;17.088639497
instances/N100T15/N100T15P1W15DD_SF10.dat;100;15;15;1.75;0;3;2;120;605674.3219549999;16.963203839000002
instances/N100T15/N100T15P1W20DD_SF6.dat;100;15;20;1.75;0;3;2;120;675263.2253563321;19.141192680000003
instances/N100T15/N100T15P1W20DD_SF7.dat;100;15;20;1.75;0;3;2;120;548507.519437666;18.553061131
instances/N100T15/N100T15P1W20DD_SF8.dat;100;15;20;1.75;0;3;2;120;560000.6709199997;22.539701008999998
instances/N100T15/N100T15P1W20DD_SF9.dat;100;15;20;1.75;0;3;2;120;669859.2821383334;34.840283613000004
instances/N100T15/N100T15P1W20DD_SF10.dat;100;15;20;1.75;0;3;2;120;657048.8053313332;22.169986414999997
instances/N100T30/N100T30P1W5DD_SF6.dat;100;30;5;1.75;0;3;2;120;1.0387201236179984e6;24.745348745999998
