instance;form;bestbound;bestsol;gap;time;numnodes
instances/N50T15/N50T15P1W5SD_SF1.dat;3level;194227.32414399978;194227.324144001;6.293454767860323e-13;5.9020140171051025;135 
instances/N50T15/N50T15P1W5SD_SF2.dat;3level;195714.12813800003;195714.12813800003;0.0;20.1700279712677;1375 
instances/N50T15/N50T15P1W5SD_SF3.dat;3level;186219.0596440003;186219.0596440003;0.0;10.602697134017944;1133 
instances/N50T15/N50T15P1W5SD_SF4.dat;3level;176429.5194919997;176429.5194920002;2.8043216304678934e-13;6.957820177078247;251 
instances/N50T15/N50T15P1W5SD_SF5.dat;3level;182092.11804490862;182092.23317900003;6.322844714323831e-5;7.9630560874938965;1407 
instances/N50T15/N50T15P1W5SD_DF1.dat;3level;174530.7450629989;174530.7450629989;0.0;5.9821789264678955;362 
instances/N50T15/N50T15P1W5SD_DF2.dat;3level;168653.42423199915;168653.42423199915;0.0;6.4360411167144775;305 
instances/N50T15/N50T15P1W5SD_DF3.dat;3level;175163.4658149996;175163.46581499962;1.6615240125170827e-14;6.036868095397949;452 
instances/N50T15/N50T15P1W5SD_DF4.dat;3level;191596.09278199944;191596.09278200052;5.620374148884058e-13;9.644896030426025;514 
instances/N50T15/N50T15P1W5SD_DF5.dat;3level;178671.30116399942;178671.30116400012;3.909368356367831e-13;4.9243690967559814;204 
instances/N50T15/N50T15P1W5DD_SF1.dat;3level;175931.13921099945;175931.13921100018;4.1356849315101194e-13;6.572897911071777;92 
instances/N50T15/N50T15P1W5DD_SF2.dat;3level;176182.1504059995;176182.15040599968;9.911502518160639e-14;11.885637044906616;1089 
instances/N50T15/N50T15P1W5DD_SF3.dat;3level;171012.95756099944;171012.95756100083;8.168877270161879e-13;9.514738082885742;792 
instances/N50T15/N50T15P1W5DD_SF4.dat;3level;178146.06225099982;178146.06225099982;0.0;39.32121300697327;4344 
instances/N50T15/N50T15P1W5DD_SF5.dat;3level;181638.7640789996;181638.7640790001;2.7238960817267227e-13;37.442671060562134;1529 
instances/N50T15/N50T15P1W5DD_DF1.dat;3level;167883.75667999938;167883.75667999938;0.0;8.234787940979004;705 
instances/N50T15/N50T15P1W5DD_DF2.dat;3level;183951.2996029995;183951.29960299988;2.056793274927034e-13;7.478785037994385;274 
instances/N50T15/N50T15P1W5DD_DF3.dat;3level;188555.62008299935;188555.62008299967;1.6978657803100668e-13;9.460595846176147;692 
instances/N50T15/N50T15P1W5DD_DF4.dat;3level;174496.36479599992;174496.364796;5.003628096910507e-14;13.270869016647339;881 
instances/N50T15/N50T15P1W5DD_DF5.dat;3level;179017.65925774904;179017.801823;7.963747152401058e-5;6.023218870162964;1 
instances/N50T15/N50T15P1W10SD_SF1.dat;3level;235276.76843999972;235276.7684400006;3.7110120114756234e-13;4.29975700378418;2088 
instances/N50T15/N50T15P1W10SD_SF2.dat;3level;212373.60385599994;212373.60385599994;0.0;2.841256856918335;18 
instances/N50T15/N50T15P1W10SD_SF3.dat;3level;218639.78205499967;218639.78205500005;1.7304709709341102e-13;2.973055839538574;10 
instances/N50T15/N50T15P1W10SD_SF4.dat;3level;245457.53736999983;245457.53737000044;2.489964032638851e-13;2.29972505569458;1 
instances/N50T15/N50T15P1W10SD_SF5.dat;3level;223318.43951600004;223318.43951600004;0.0;3.634033203125;13 
instances/N50T15/N50T15P1W10SD_DF1.dat;3level;197354.53857800004;197354.53857800004;0.0;2.0045371055603027;1 
instances/N50T15/N50T15P1W10SD_DF2.dat;3level;199844.8445539995;199844.84455400024;3.7864353897335984e-13;4.831592082977295;296 
instances/N50T15/N50T15P1W10SD_DF3.dat;3level;199760.21461099997;199760.21461099997;0.0;2.6385719776153564;1 
instances/N50T15/N50T15P1W10SD_DF4.dat;3level;210544.446848998;210544.446848998;0.0;4.772719144821167;297 
instances/N50T15/N50T15P1W10SD_DF5.dat;3level;213573.18588100022;213573.18588100022;0.0;2.8263490200042725;7 
instances/N50T15/N50T15P1W10DD_SF1.dat;3level;208749.9374809995;208749.93748100015;3.0672309547705537e-13;3.900113821029663;37 
instances/N50T15/N50T15P1W10DD_SF2.dat;3level;195870.66035099953;195870.66035100137;9.360979921589618e-13;6.343392848968506;131 
instances/N50T15/N50T15P1W10DD_SF3.dat;3level;212338.82482699872;212338.82482699872;0.0;3.628080129623413;54 
instances/N50T15/N50T15P1W10DD_SF4.dat;3level;219982.94672800018;219982.94672800018;0.0;1.9041998386383057;1 
