instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N100T15/N100T15P1W5SD_SF1.dat;bc3level;282180.3254499993;282180.3254500003;3.5067300810250196e-13;20.8370418548584;44;0 
instances/N100T15/N100T15P1W5SD_SF2.dat;bc3level;270480.03819799895;270480.03819799895;0.0;24.14495086669922;230;0 
instances/N100T15/N100T15P1W5SD_SF3.dat;bc3level;268974.3980319994;268974.3980320005;4.1117131052164444e-13;19.40025806427002;116;0 
instances/N100T15/N100T15P1W5SD_SF4.dat;bc3level;271779.7348889987;271779.7348889987;0.0;25.42100191116333;39;0 
instances/N100T15/N100T15P1W5SD_SF5.dat;bc3level;273474.4299069999;273474.4299069999;0.0;27.826375007629395;18;0 
instances/N100T15/N100T15P1W5SD_DF1.dat;bc3level;241604.65818499937;241604.6581850028;1.421434511939287e-12;34.40442490577698;10;0 
instances/N100T15/N100T15P1W5SD_DF2.dat;bc3level;246548.197099939;246548.197099939;0.0;21.15422010421753;1;0 
instances/N100T15/N100T15P1W5SD_DF3.dat;bc3level;263464.10300600127;263464.10300600127;0.0;29.117161989212036;1;0 
instances/N100T15/N100T15P1W5SD_DF4.dat;bc3level;245241.70133999942;245241.70134000035;3.7975701910675596e-13;39.30981993675232;192;0 
instances/N100T15/N100T15P1W5SD_DF5.dat;bc3level;253407.12964899925;253407.12964900082;6.201904606395579e-13;31.764163970947266;13;0 
instances/N100T15/N100T15P1W5DD_SF1.dat;bc3level;270359.1179780734;270359.1179780734;0.0;39.375192165374756;14;0 
instances/N100T15/N100T15P1W5DD_SF2.dat;bc3level;238886.1995609995;238886.19956100176;9.5028460404869e-13;49.2178258895874;148;0 
instances/N100T15/N100T15P1W5DD_SF3.dat;bc3level;262360.2352299995;262360.23523000383;1.6417758216371628e-12;42.85620713233948;25;0 
instances/N100T15/N100T15P1W5DD_SF4.dat;bc3level;258109.05560902503;258109.05560902503;0.0;32.72329592704773;51;0 
instances/N100T15/N100T15P1W5DD_SF5.dat;bc3level;262490.65674099885;262490.6567410733;2.836199933080346e-11;33.53681302070618;1;0 
instances/N100T15/N100T15P1W5DD_DF1.dat;bc3level;250375.1827049986;250375.18270499876;6.974452533746104e-14;44.63526201248169;10;0 
instances/N100T15/N100T15P1W5DD_DF2.dat;bc3level;253790.0512519977;253790.0512519977;0.0;36.86054301261902;48;0 
instances/N100T15/N100T15P1W5DD_DF3.dat;bc3level;251816.74287499906;251816.742875009;3.94112244977779e-12;46.512917041778564;13;0 
instances/N100T15/N100T15P1W5DD_DF4.dat;bc3level;266196.894204092;266196.894204092;0.0;46.4447021484375;25;0 
instances/N100T15/N100T15P1W5DD_DF5.dat;bc3level;265073.9478169861;265073.9478169861;0.0;31.840276956558228;13;0 
instances/N100T15/N100T15P1W10SD_SF1.dat;bc3level;319680.1007369995;319680.10073700146;6.190752775963528e-13;14.152230024337769;51;0 
instances/N100T15/N100T15P1W10SD_SF2.dat;bc3level;300083.6964489995;300083.6964490005;3.2975141510132575e-13;19.298980951309204;34;0 
instances/N100T15/N100T15P1W10SD_SF3.dat;bc3level;314120.0251709993;314120.0251709996;9.265194232965651e-14;11.977403163909912;25;0 
instances/N100T15/N100T15P1W10SD_SF4.dat;bc3level;316526.4917669993;316526.49176700274;1.084980904670233e-12;15.820061922073364;258;0 
instances/N100T15/N100T15P1W10SD_SF5.dat;bc3level;274908.3285819994;274908.3285819994;0.0;13.636997938156128;1;0 
instances/N100T15/N100T15P1W10SD_DF1.dat;bc3level;293944.1836709989;293944.1836710049;2.0396352121045685e-12;26.262529850006104;29;0 
instances/N100T15/N100T15P1W10SD_DF2.dat;bc3level;286213.3091239992;286213.30912401713;6.263845527036522e-12;20.6437668800354;11;0 
instances/N100T15/N100T15P1W10SD_DF3.dat;bc3level;289556.8329749992;289556.8329750082;3.0957583313006008e-12;10.67531704902649;1;0 
instances/N100T15/N100T15P1W10SD_DF4.dat;bc3level;285301.195883999;285301.195883999;0.0;16.239180088043213;1;0 
instances/N100T15/N100T15P1W10SD_DF5.dat;bc3level;278405.82824099925;278405.8282410126;4.7878144051082156e-12;17.50380301475525;4;0 
instances/N100T15/N100T15P1W10DD_SF1.dat;bc3level;311458.5806019992;311458.58060200105;5.98039439347201e-13;22.01759696006775;1;0 
