instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N100T30/N100T30P1W5SD_SF1.dat;bcstd;549663.4093057789;563593.4608959915;2.471648902396216;3600.025391101837;18000;0 
instances/N100T30/N100T30P1W5SD_SF2.dat;bcstd;494727.4185911531;509904.18339599296;2.976395428600267;3600.052696943283;20451;0 
instances/N100T30/N100T30P1W5SD_SF3.dat;bcstd;525620.5023818585;548504.8185349959;4.172126730674708;3600.012360095978;7402;0 
instances/N100T30/N100T30P1W5SD_SF4.dat;bcstd;474192.4547214772;507253.9819539879;6.517746219587033;3600.014430999756;7394;0 
instances/N100T30/N100T30P1W5SD_SF5.dat;bcstd;478473.23910321057;505979.0684021342;5.4361595205481805;3600.0046830177307;9600;0 
instances/N100T30/N100T30P1W5SD_DF1.dat;bcstd;475897.7777964893;479223.0180929924;0.6938815897732742;3600.0173559188843;129151;0 
instances/N100T30/N100T30P1W5SD_DF2.dat;bcstd;502910.30873046117;506677.15838499495;0.7434417739572879;3600.0164799690247;170214;0 
instances/N100T30/N100T30P1W5SD_DF3.dat;bcstd;476291.18659594294;494977.57747199247;3.775199468930866;3600.0083339214325;13611;0 
instances/N100T30/N100T30P1W5SD_DF4.dat;bcstd;491087.4229608083;493546.69368499244;0.49828532044705565;3600.029145002365;102277;0 
instances/N100T30/N100T30P1W5SD_DF5.dat;bcstd;524968.4846264902;532413.7423989817;1.3983969945900079;3600.015242099762;93328;0 
instances/N100T30/N100T30P1W5DD_SF1.dat;bcstd;530366.162963994;554400.133506992;4.335130727867139;3600.020836830139;12497;0 
instances/N100T30/N100T30P1W5DD_SF2.dat;bcstd;536288.7468655669;558786.3819609871;4.026160232550352;3600.0377700328827;20756;0 
instances/N100T30/N100T30P1W5DD_SF3.dat;bcstd;484029.1862292361;511686.5114569864;5.405130799519871;3600.0092639923096;13251;0 
instances/N100T30/N100T30P1W5DD_SF4.dat;bcstd;452774.86380595056;483371.3575459911;6.32981107845832;3600.0247390270233;9065;0 
instances/N100T30/N100T30P1W5DD_SF5.dat;bcstd;496754.5924064976;526107.8774369895;5.5793281738130585;3600.0049290657043;5761;0 
instances/N100T30/N100T30P1W5DD_DF1.dat;bcstd;482909.9358179603;500379.3945899908;3.4912426372682472;3600.0153589248657;13850;0 
instances/N100T30/N100T30P1W5DD_DF2.dat;bcstd;496254.05513195286;498165.85631599027;0.3837680081440065;3600.007772922516;180765;0 
instances/N100T30/N100T30P1W5DD_DF3.dat;bcstd;483825.8095629285;496567.9884289916;2.5660491942656067;3600.0130450725555;22862;0 
instances/N100T30/N100T30P1W5DD_DF4.dat;bcstd;499641.9816258436;501400.6835729947;0.35075778808647484;3600.0257620811462;290665;0 
instances/N100T30/N100T30P1W5DD_DF5.dat;bcstd;483702.95943145483;496241.38447688957;2.526678636174622;3600.049686193466;21188;0 
instances/N100T30/N100T30P1W10SD_SF1.dat;bcstd;621854.9565366331;639360.2014739926;2.7379315911441724;3600.0302600860596;12285;0 
instances/N100T30/N100T30P1W10SD_SF2.dat;bcstd;618927.265615566;625155.9596300874;0.9963424196110858;3600.031785964966;53169;0 
instances/N100T30/N100T30P1W10SD_SF3.dat;bcstd;530966.5425836046;572899.634263985;7.319448149805967;3600.0175149440765;7043;0 
instances/N100T30/N100T30P1W10SD_SF4.dat;bcstd;571119.8361784992;596610.3949109862;4.272563627774236;3600.0151591300964;9674;0 
instances/N100T30/N100T30P1W10SD_SF5.dat;bcstd;586806.3352101898;596876.1537719875;1.6870867596503942;3600.0121669769287;10937;0 
instances/N100T30/N100T30P1W10SD_DF1.dat;bcstd;556964.953580214;557914.675651998;0.17022711773519944;3600.0170578956604;430287;0 
instances/N100T30/N100T30P1W10SD_DF2.dat;bcstd;545871.3379005054;552727.7990559918;1.2404769883469973;3600.0221829414368;37681;0 
instances/N100T30/N100T30P1W10SD_DF3.dat;bcstd;558684.1338926625;583395.9925099958;4.235863621725159;3600.008486032486;12605;0 
instances/N100T30/N100T30P1W10SD_DF4.dat;bcstd;551083.0752895052;571218.4101509954;3.5249800257956707;3600.0206410884857;13661;0 
instances/N100T30/N100T30P1W10SD_DF5.dat;bcstd;548099.3078810057;561527.3676604079;2.391345560831692;3600.007621049881;18347;0 
instances/N100T30/N100T30P1W10DD_SF1.dat;bcstd;570654.4253175559;592644.0932249882;3.7104339955151238;3600.0169639587402;13598;0 
instances/N100T30/N100T30P1W10DD_SF2.dat;bcstd;603638.3718750473;633229.6755919954;4.673075956095019;3600.0067279338837;9813;0 
instances/N100T30/N100T30P1W10DD_SF3.dat;bcstd;609931.1484292403;631902.1713789926;3.4769658888503545;3600.008842945099;7203;0 
instances/N100T30/N100T30P1W10DD_SF4.dat;bcstd;573444.2748459858;595299.9168299865;3.6713665441754975;3600.017613887787;19381;0 
instances/N100T30/N100T30P1W10DD_SF5.dat;bcstd;597775.2319474253;620786.1768139933;3.70674247043725;3600.016299009323;7269;0 
instances/N100T30/N100T30P1W10DD_DF1.dat;bcstd;570073.6093887293;573829.8231679957;0.6545867132748631;3600.0181620121;39455;0 
instances/N100T30/N100T30P1W10DD_DF2.dat;bcstd;561193.6002855105;564939.5052339996;0.663063020692362;3600.0237188339233;95807;0 
instances/N100T30/N100T30P1W10DD_DF3.dat;bcstd;562986.9560195586;575100.8049259947;2.1063870546999075;3600.019577026367;15081;0 
instances/N100T30/N100T30P1W10DD_DF4.dat;bcstd;555014.202782386;571512.3714009929;2.8867561656038383;3600.0110161304474;10665;0 
instances/N100T30/N100T30P1W10DD_DF5.dat;bcstd;561499.6874818542;583172.8218739948;3.716417085846883;3600.0334498882294;12920;0 
instances/N100T30/N100T30P1W15SD_SF1.dat;bcstd;608829.72437132;614276.7432279921;0.8867369498718617;3600.0443217754364;18574;0 
instances/N100T30/N100T30P1W15SD_SF2.dat;bcstd;641712.6007528615;655604.990235995;2.1190182640514656;3600.0216748714447;10337;0 
