instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N100T15/N100T15P1W5SD_SF1.dat;bc3level;262412.31716699764;262412.31716699764;0.0;22.007066011428833;457;0 
instances/N100T15/N100T15P1W5SD_SF2.dat;bc3level;257555.8762159995;257555.87621599954;1.1300006384760463e-14;40.16553497314453;5559;0 
instances/N100T15/N100T15P1W5SD_SF3.dat;bc3level;254322.0857179993;254322.0857180006;5.149660387754203e-13;18.674652099609375;168;0 
instances/N100T15/N100T15P1W5SD_SF4.dat;bc3level;251512.82015199942;251512.82015199956;5.785754865128756e-14;20.014362812042236;480;0 
instances/N100T15/N100T15P1W5SD_SF5.dat;bc3level;255490.5355209934;255490.5355209934;0.0;17.19244885444641;59;0 
instances/N100T15/N100T15P1W5SD_DF1.dat;bc3level;227127.86786799892;227127.86786799997;4.612986976355221e-13;22.890122890472412;1;0 
instances/N100T15/N100T15P1W5SD_DF2.dat;bc3level;229352.91294999898;229352.91295000212;1.3704703589321518e-12;11.690347909927368;1;0 
instances/N100T15/N100T15P1W5SD_DF3.dat;bc3level;249138.55943999896;249138.5594400049;2.3830841064983397e-12;13.87152099609375;1;0 
instances/N100T15/N100T15P1W5SD_DF4.dat;bc3level;228227.3450729989;228227.34507300242;1.5430068137270518e-12;10.320656061172485;1;0 
instances/N100T15/N100T15P1W5SD_DF5.dat;bc3level;240427.0591959973;240427.05919600488;3.1473145926481896e-12;14.738919019699097;1;0 
instances/N100T15/N100T15P1W5DD_SF1.dat;bc3level;253610.78568199938;253610.7856820015;8.377323612748619e-13;27.68649411201477;72;0 
instances/N100T15/N100T15P1W5DD_SF2.dat;bc3level;224369.23259599917;224369.23259600057;6.226271961444144e-13;27.091835021972656;140;0 
instances/N100T15/N100T15P1W5DD_SF3.dat;bc3level;249331.4258739994;249331.4258740028;1.3657115830872446e-12;31.520998001098633;227;0 
instances/N100T15/N100T15P1W5DD_SF4.dat;bc3level;243046.06047199806;243046.06047199806;0.0;19.65195107460022;33;0 
instances/N100T15/N100T15P1W5DD_SF5.dat;bc3level;241477.36840699872;241477.36840699945;3.013101253414407e-13;29.369191884994507;3;0 
instances/N100T15/N100T15P1W5DD_DF1.dat;bc3level;237495.90997298766;237495.90997298766;0.0;18.250518083572388;1;0 
instances/N100T15/N100T15P1W5DD_DF2.dat;bc3level;238998.6090049995;238998.60900500003;2.1919330426322563e-13;29.263144969940186;1;0 
instances/N100T15/N100T15P1W5DD_DF3.dat;bc3level;234928.5734769977;234928.57347699953;7.804675657955819e-13;15.32485818862915;1;0 
instances/N100T15/N100T15P1W5DD_DF4.dat;bc3level;250734.34677299776;250734.34677300317;2.158983216548825e-12;15.935947179794312;1;0 
instances/N100T15/N100T15P1W5DD_DF5.dat;bc3level;253296.63327399915;253296.6332740022;1.2064519604772377e-12;28.7314031124115;87;0 
instances/N100T15/N100T15P1W10SD_SF1.dat;bc3level;299306.6341759996;299306.63417600526;1.8864076047462958e-12;16.17417812347412;415;0 
instances/N100T15/N100T15P1W10SD_SF2.dat;bc3level;281239.5131300012;281239.5131300012;0.0;17.709698915481567;50;0 
instances/N100T15/N100T15P1W10SD_SF3.dat;bc3level;302238.6779899991;302238.6779900056;2.1377311482313112e-12;21.330204010009766;46;0 
instances/N100T15/N100T15P1W10SD_SF4.dat;bc3level;305819.02308799943;305819.023088;1.903336827307765e-13;17.625004053115845;270;0 
instances/N100T15/N100T15P1W10SD_SF5.dat;bc3level;259436.3783999995;259436.3784000006;4.2628777204510893e-13;13.773819923400879;116;0 
