instance;bestcost; averagecost; elapsedtime; dptype; dpalpha
instances/N50T15/N50T15P1W5SD_SF1.dat;186015.69884900007;187385.87123766207;0.545305738;1;0.2 
instances/N50T15/N50T15P1W5SD_SF2.dat;189900.03583699997;192113.68373752796;0.551223068;1;0.2 
instances/N50T15/N50T15P1W5SD_SF3.dat;183206.01323799996;185235.10428158793;0.537383878;1;0.2 
instances/N50T15/N50T15P1W5SD_SF4.dat;172971.82857200003;176925.75136203616;0.537968824;1;0.2 
instances/N50T15/N50T15P1W5SD_SF5.dat;174383.75534399998;176506.61802564803;0.547670169;1;0.2 
instances/N50T15/N50T15P1W5SD_DF1.dat;172624.31859100002;172919.1035328419;0.534181391;1;0.2 
instances/N50T15/N50T15P1W5SD_DF2.dat;164409.716104;165651.14144454797;0.536386833;1;0.2 
instances/N50T15/N50T15P1W5SD_DF3.dat;170755.33376399998;171633.01486442206;0.527261019;1;0.2 
instances/N50T15/N50T15P1W5SD_DF4.dat;185926.10598500003;186894.51015432412;0.535801933;1;0.2 
instances/N50T15/N50T15P1W5SD_DF5.dat;179094.96901;180292.26849206578;0.524995216;1;0.2 
instances/N50T15/N50T15P1W5DD_SF1.dat;174659.098804;178121.49209594997;0.541418088;1;0.2 
instances/N50T15/N50T15P1W5DD_SF2.dat;174425.176397;177650.03075663603;0.544406069;1;0.2 
instances/N50T15/N50T15P1W5DD_SF3.dat;165870.077402;168597.86607647606;0.537846493;1;0.2 
instances/N50T15/N50T15P1W5DD_SF4.dat;168752.56862799998;169874.98626064;0.515603294;1;0.2 
instances/N50T15/N50T15P1W5DD_SF5.dat;178531.011724;179571.43279424997;0.525936482;1;0.2 
instances/N50T15/N50T15P1W5DD_DF1.dat;162683.461881;162991.09424258405;0.531393965;1;0.2 
instances/N50T15/N50T15P1W5DD_DF2.dat;181213.9335;183132.21052215202;0.54599896;1;0.2 
instances/N50T15/N50T15P1W5DD_DF3.dat;182017.37072;184104.32966535594;0.523143561;1;0.2 
instances/N50T15/N50T15P1W5DD_DF4.dat;169206.075534;170190.5489849;0.543474839;1;0.2 
instances/N50T15/N50T15P1W5DD_DF5.dat;173317.71812099998;174053.75742997392;0.531785104;1;0.2 
instances/N50T15/N50T15P1W10SD_SF1.dat;225904.329688;227267.9370940541;0.546956067;1;0.2 
instances/N50T15/N50T15P1W10SD_SF2.dat;210000.333876;211965.2686407422;0.548400226;1;0.2 
instances/N50T15/N50T15P1W10SD_SF3.dat;212840.615955;216374.05232488003;0.554472334;1;0.2 
instances/N50T15/N50T15P1W10SD_SF4.dat;240208.96114799997;240927.43877146608;0.544592647;1;0.2 
instances/N50T15/N50T15P1W10SD_SF5.dat;213324.882913;215140.49403337005;0.556980009;1;0.2 
instances/N50T15/N50T15P1W10SD_DF1.dat;193916.65011699998;194258.44127770816;0.534916458;1;0.2 
instances/N50T15/N50T15P1W10SD_DF2.dat;200155.271084;201469.40247048202;0.535955139;1;0.2 
instances/N50T15/N50T15P1W10SD_DF3.dat;196675.08468799997;198199.28409625991;0.542926212;1;0.2 
instances/N50T15/N50T15P1W10SD_DF4.dat;207046.750689;207550.53888561594;0.536759718;1;0.2 
