instance;form;heursol;bestbound;bestsol;gap;time;numnodes;percfixed
instances/N100T30/N100T30P1W5SD_SF1.dat;randdpheurmc;546760.0881889999;523693.28531700023;523693.28531700023;0.0;498.85960483551025;112;63.23448275862069 
instances/N100T30/N100T30P1W5SD_SF2.dat;randdpheurmc;500432.1246989998;478960.9979740004;478960.99797400046;1.2152902044150807e-14;458.1121690273285;59;60.05747126436781 
instances/N100T30/N100T30P1W5SD_SF3.dat;randdpheurmc;553279.83981;521676.674888001;521676.6748880011;2.2315608006037082e-14;413.430312871933;55;63.289655172413795 
instances/N100T30/N100T30P1W5SD_SF4.dat;randdpheurmc;503321.46328399965;480490.88486999966;480490.88486999966;0.0;533.08837890625;63;63.6367816091954 
instances/N100T30/N100T30P1W5SD_SF5.dat;randdpheurmc;492440.67342400015;471050.52737799834;471050.5273779994;2.2242579841156724e-13;248.1953408718109;11;65.04827586206896 
instances/N100T30/N100T30P1W5SD_DF1.dat;randdpheurmc;486410.75393999997;454668.5710599993;454668.5710599997;8.961552487438214e-14;94.51190209388733;1;72.3287356321839 
instances/N100T30/N100T30P1W5SD_DF2.dat;randdpheurmc;510898.48312699975;481159.6641769973;481159.6641769996;4.717973979610538e-13;206.67276692390442;1;75.17931034482758 
instances/N100T30/N100T30P1W5SD_DF3.dat;randdpheurmc;506698.53938799974;473294.50852399995;473294.50852400006;2.459680383573087e-14;71.17520594596863;0;72.8344827586207 
instances/N100T30/N100T30P1W5SD_DF4.dat;randdpheurmc;495371.36306599964;462868.91597999935;462868.9159800003;2.0120654951384104e-13;29.08220601081848;0;69.28045977011494 
instances/N100T30/N100T30P1W5SD_DF5.dat;randdpheurmc;539545.891308;502032.2732069981;502032.27320699947;2.666713421544798e-13;55.315845012664795;0;76.27816091954023 
instances/N100T30/N100T30P1W5DD_SF1.dat;randdpheurmc;552618.305383;524770.9588940004;524770.9588940004;0.0;253.49305391311646;10;73.25287356321839 
instances/N100T30/N100T30P1W5DD_SF2.dat;randdpheurmc;560452.7029150001;529742.9689279997;529742.9689279997;0.0;541.3439009189606;7;71.39080459770115 
