instance,form_x,cap,capw,capr,T,W,R,bestbound,bestsol,gap,time,nodes,opt,form_y,bal,fixsizerf,freeintervalrf,maxtimerf,bestsolrf,timerf,fixsizefo,freeintervalfo,minroundsfo,maxtimefo,incfixfo,inchorfo,bestsolfo,timefo,rounds,gap_rffo,impr_fo_rf,impr_rffo_esls,dif,#inst<=,#inst<
instances/N50T30/N50T30P1W20DD_SF1.dat,esls,0.0,0.0,1.5,30.0,20.0,50.0,504145.438579,504145.43857900007,2.3091614625149964e-14,12.641971826553345,262.0,1.0,rffoesls,1.0,3.0,2.0,60.0,505227.2798459751,34.79380659600001,3.0,2.0,2.0,600.0,0.0,1.0,504145.438579,600.013295545,24.0,0.0,0.2141296224750395,1.1545807312574982e-14,5.820766091346741e-11,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF2.dat,esls,0.0,0.0,1.5,30.0,20.0,50.0,539322.880854,539322.8808540001,2.1585459464021805e-14,4.5641090869903564,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,539832.6847569643,33.099775843,3.0,2.0,2.0,600.0,0.0,1.0,539322.8808539759,408.2539728740001,29.0,-4.4681901090527145e-12,0.09443739095159735,4.489775568516536e-12,2.421438694000244e-08,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF3.dat,esls,0.0,0.0,1.5,30.0,20.0,50.0,487478.734641,487478.7346410001,1.1940553869767056e-14,13.652175903320312,150.0,1.0,rffoesls,1.0,3.0,2.0,60.0,487999.99687498494,36.386595869,3.0,2.0,2.0,600.0,0.0,1.0,487478.73464098095,600.0128767250001,28.0,-3.90456111541398e-12,0.10681603224221284,3.928442223153361e-12,1.9150320440530777e-08,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF4.dat,esls,0.0,0.0,1.5,30.0,20.0,50.0,517083.324204,517083.324204,0.0,13.02551293373108,210.0,1.0,rffoesls,1.0,3.0,2.0,60.0,517539.148347,34.150711545,3.0,2.0,2.0,600.0,0.0,1.0,517083.32420399983,600.0122199710001,25.0,-3.377076277004631e-14,0.0880752971936644,3.3770762770046294e-14,1.7462298274040222e-10,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF5.dat,esls,0.0,0.0,1.5,30.0,20.0,50.0,506122.444093,506122.444093,0.0,15.075555086135864,356.0,1.0,rffoesls,1.0,3.0,2.0,60.0,509994.71612197696,38.066323144,3.0,2.0,2.0,600.0,0.0,1.0,506122.4440929835,600.007242163,26.0,-3.2662008753730973e-12,0.7592768918153503,3.2662008753729907e-12,1.6530975699424744e-08,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF1.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,461213.519144,461213.519144,1.2620545256674018e-14,11.863442182540894,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,462082.225186,35.860813673,3.0,2.0,2.0,600.0,0.0,1.0,461213.519144,579.14275535,31.0,0.0,0.1879981515519883,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF2.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,475410.906058,475410.906058,0.0,9.95789098739624,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,479320.402956,40.111671816,3.0,2.0,2.0,600.0,0.0,1.0,475410.906058,526.0265573009998,32.0,0.0,0.815633316230624,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF3.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,458475.061659,458475.061659,0.0,15.15537691116333,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,458709.229369,35.361750866,3.0,2.0,2.0,600.0,0.0,1.0,458475.06165900006,600.0086923069999,28.0,1.2695927386506468e-14,0.05104926934260108,-1.2695927386506471e-14,-5.820766091346741e-11,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF4.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,452952.631609,452952.631609,0.0,10.78872299194336,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,453511.977969,33.519160983,3.0,2.0,2.0,600.0,0.0,1.0,452952.6316089999,576.331753116,32.0,-1.2850717017958233e-14,0.1233366233247135,1.285071701795823e-14,5.820766091346741e-11,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF5.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,447126.115613,447126.115613,0.0,9.570592880249023,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,447280.62588216446,33.731031757,3.0,2.0,2.0,600.0,0.0,1.0,447126.115613,460.609940829,29.0,0.0,0.03454436884220479,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF1.dat,esls,0.0,0.0,1.75,15.0,15.0,100.0,341455.538919,341455.538919,0.0,1.6227750778198242,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,341672.053152,15.360073242,3.0,2.0,2.0,600.0,0.0,1.0,341455.538919,53.318551591,14.0,0.0,0.06336902038156264,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF2.dat,esls,0.0,0.0,1.75,15.0,15.0,100.0,328728.89446,328728.89446,0.0,2.7933871746063232,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,328874.99716,15.741110394,3.0,2.0,2.0,600.0,0.0,1.0,328728.89446,60.219344941,14.0,0.0,0.04442499468239197,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF3.dat,esls,0.0,0.0,1.75,15.0,15.0,100.0,343681.290387,343681.290387,1.6936523035025578e-14,1.874091863632202,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,343757.341754,15.083121477,3.0,2.0,2.0,600.0,0.0,1.0,343681.2903869999,52.471337861,14.0,-3.387304607005117e-14,0.022123561525129138,3.3873046070051157e-14,1.1641532182693481e-10,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF4.dat,esls,0.0,0.0,1.75,15.0,15.0,100.0,349916.12022299995,349916.12022299995,0.0,1.99944806098938,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,349976.91466500005,15.504923051,3.0,2.0,2.0,600.0,0.0,1.0,349916.12022300006,58.38810179199999,15.0,3.326949377260579e-14,0.017370986328677354,-3.326949377260581e-14,-1.1641532182693481e-10,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF5.dat,esls,0.0,0.0,1.75,15.0,15.0,100.0,334658.44548600004,334658.44548600004,0.0,2.558046102523804,1.0,1.0,rffoesls,1.0,3.0,2.0,60.0,334688.413892,15.616768621,3.0,2.0,2.0,600.0,0.0,1.0,334658.4454859999,57.099230812,12.0,-3.478630926462154e-14,0.008954121133613133,3.478630926462153e-14,1.1641532182693481e-10,1.0,0.0
instances/N100T30/N100T30P1W15DD_SF1.dat,esls,0.0,0.0,1.5,30.0,15.0,100.0,680504.7929213842,680504.819237,3.867072649796526e-06,18.65058207511902,1.0,0.0,rffoesls,1.0,3.0,2.0,60.0,684019.366515,47.83320453900001,3.0,2.0,2.0,600.0,0.0,1.0,680504.819237,600.0228972609998,22.0,3.867072649796526e-06,0.5138081536939891,0.0,0.0,1.0,0.0
